iterations,fevals,time,fitness
0,2819283,6.621799995,630.0
10,2821474,11.946253890000001,674.0
20,2823665,17.319960093000002,702.0
30,2825856,22.591571952000002,740.0
40,2828047,28.087482895,758.0
50,2830238,32.900304692000006,768.0
60,2832429,38.334258168000005,776.0
70,2834620,43.237970918,780.0
80,2836811,48.03576073200001,786.0
90,2839002,52.85209084600001,792.0
100,2841193,57.765910989000005,796.0
110,2843384,62.490380141,800.0
120,2845575,67.84076587700001,806.0
130,2847766,72.77563065600002,810.0
140,2849957,77.94024576900001,818.0
150,2852148,82.85555902600001,820.0
160,2854339,87.89155277100001,820.0
170,2856530,92.797307901,826.0
180,2858721,97.764177025,830.0
190,2860912,102.749440104,830.0
