iterations,fevals,time,fitness
0,16547,3.0988000000009563e-05,807.0
10,16548,5.420700000000056e-05,807.0
20,16549,7.49920000000237e-05,807.0
30,16550,9.722100000000844e-05,807.0
40,16551,0.00012076999999999227,807.0
50,16552,0.0001413289999999956,807.0
60,16553,0.00016607599999998723,807.0
70,16554,0.00018775399999998443,807.0
80,16555,0.00021223599999997678,807.0
90,16556,0.00023674299999995596,807.0
100,16557,0.00028775799999994356,807.0
110,16558,0.00032575799999992605,807.0
120,16559,0.00036707399999991175,807.0
130,16560,0.00040065599999991597,807.0
140,16561,0.0004290749999999177,807.0
150,16562,0.0004533489999999085,807.0
160,16563,0.0004805319999998947,807.0
170,16564,0.0005108919999999018,807.0
180,16565,0.0005430299999999166,807.0
190,16566,0.0005754599999999166,807.0
200,16567,0.000603082999999921,807.0
210,16568,0.0006321909999999209,807.0
220,16569,0.000657823999999918,807.0
230,16570,0.0006899289999998948,807.0
240,16571,0.0007228469999998877,807.0
250,16572,0.0007413449999998656,807.0
260,16573,0.0007671409999998602,807.0
270,16574,0.000783651999999857,807.0
280,16575,0.0008008959999998566,807.0
290,16576,0.000818450999999859,807.0
300,16577,0.0008417629999998566,807.0
310,16578,0.000864078999999851,807.0
320,16579,0.0008862039999998628,807.0
330,16580,0.0009059059999998731,807.0
340,16581,0.0009279139999998631,807.0
350,16582,0.0009493419999998531,807.0
360,16583,0.0009716289999998351,807.0
370,16584,0.000998030999999816,807.0
380,16585,0.0010176159999998324,807.0
390,16586,0.001037599999999833,807.0
400,16587,0.0010575099999998172,807.0
410,16588,0.00107727899999982,807.0
420,16589,0.0010991109999998194,807.0
430,16590,0.0011210619999998117,807.0
440,16591,0.0011410989999998122,807.0
450,16592,0.0011612109999998288,807.0
460,16593,0.0011811909999998316,807.0
470,16594,0.0012013799999998076,807.0
480,16595,0.00122283699999981,807.0
490,16596,0.001246277999999823,807.0
500,16597,0.0012686109999998363,807.0
510,16598,0.001290596999999838,807.0
520,16599,0.0013122969999998513,807.0
530,16600,0.0013339679999998522,807.0
540,16601,0.001356339999999845,807.0
550,16602,0.001379260999999854,807.0
560,16603,0.0013989319999998528,807.0
570,16604,0.0014186529999998532,807.0
580,16605,0.0014401999999998638,807.0
590,16606,0.0014605019999998636,807.0
600,16607,0.001480166999999838,807.0
610,16608,0.001502317999999836,807.0
620,16609,0.0015246389999998555,807.0
630,16610,0.0015483249999998783,807.0
640,16611,0.0015709139999998956,807.0
650,16612,0.0015928999999998972,807.0
660,16613,0.001614926999999905,807.0
670,16614,0.0016366459999999083,807.0
680,16615,0.0016581789999998986,807.0
690,16616,0.0016780289999998865,807.0
700,16617,0.001698489999999886,807.0
710,16618,0.0017197249999998665,807.0
720,16619,0.0017398949999998525,807.0
730,16620,0.0017597669999998566,807.0
740,16621,0.0017840979999998452,807.0
750,16622,0.0018065439999998545,807.0
760,16623,0.0018283899999998465,807.0
770,16624,0.001850944999999854,807.0
780,16625,0.0018722659999998448,807.0
790,16626,0.0018951559999998424,807.0
800,16627,0.0019174749999998353,807.0
810,16628,0.0019379829999998377,807.0
820,16629,0.0019584749999998208,807.0
830,16630,0.0019785379999998076,807.0
840,16631,0.0019979659999998234,807.0
850,16632,0.002017618999999804,807.0
860,16633,0.00203958199999979,807.0
870,16634,0.0020617299999997896,807.0
880,16635,0.0020828079999997973,807.0
890,16636,0.0021040439999997773,807.0
900,16637,0.0021258689999997804,807.0
910,16638,0.002147555999999773,807.0
920,16639,0.002169595999999774,807.0
930,16640,0.002190098999999779,807.0
940,16641,0.002212288999999784,807.0
950,16642,0.002234857999999784,807.0
960,16643,0.0022571999999997927,807.0
970,16644,0.002283419999999786,807.0
980,16645,0.0023071559999998104,807.0
990,16646,0.0023330839999998187,807.0
1000,16647,0.0023553559999998364,807.0
1010,16648,0.0023781059999998244,807.0
1020,16649,0.0024001629999998164,807.0
1030,16650,0.0024227699999997965,807.0
1040,16651,0.0024438139999997943,807.0
1050,16652,0.002465401999999811,807.0
1060,16653,0.0024859099999998135,807.0
1070,16654,0.002505336999999802,807.0
1080,16655,0.002524470999999806,807.0
1090,16656,0.002544348999999807,807.0
1100,16657,0.0025639659999998066,807.0
1110,16658,0.0025868309999998174,807.0
1120,16659,0.002608582999999831,807.0
1130,16660,0.0026300719999998168,807.0
1140,16661,0.0026524099999997997,807.0
1150,16662,0.0026743109999997905,807.0
1160,16663,0.0026966669999997916,807.0
1170,16664,0.002719655999999765,807.0
1180,16665,0.002739516999999775,807.0
1190,16666,0.0027596689999997703,807.0
1200,16667,0.002779036999999762,807.0
1210,16668,0.0027987469999997405,807.0
1220,16669,0.002819282999999728,807.0
1230,16670,0.0028407989999997274,807.0
1240,16671,0.002862248999999706,807.0
1250,16672,0.0028837509999997124,807.0
1260,16673,0.0029055159999996916,807.0
1270,16674,0.00292719199999969,807.0
1280,16675,0.002974939999999676,807.0
1290,16676,0.0029970869999996763,807.0
1300,16677,0.003018266999999686,807.0
1310,16678,0.003037586999999675,807.0
1320,16679,0.003056997999999672,807.0
1330,16680,0.0030759859999996697,807.0
1340,16681,0.0030957209999996627,807.0
1350,16682,0.0031154409999996635,807.0
1360,16683,0.0031383079999996732,807.0
1370,16684,0.00316060099999968,807.0
1380,16685,0.0031824699999996875,807.0
1390,16686,0.0032045549999996925,807.0
