iterations,pop,mate,mutate,time,fitness
0,40,20,0.5,0.008788344999999254,3441.795549915566
10,40,20,0.5,0.016591525999999135,3657.6877677650928
20,40,20,0.5,0.023872254999998788,3738.4122127380183
30,40,20,0.5,0.03074306899999879,3650.6245949972977
40,40,20,0.5,0.03745352799999946,3695.6081238334978
50,40,20,0.5,0.044392000999999404,3640.410490431241
60,40,20,0.5,0.05205891899999937,3703.479218410181
70,40,20,0.5,0.05907524799999919,3641.150722608703
80,40,20,0.5,0.06640751499999897,3673.1136871761305
90,40,20,0.5,0.0732856369999988,3661.418961682942
100,40,20,0.5,0.08023048299999846,3733.679229373717
110,40,20,0.5,0.0871626869999984,3726.1270821784433
120,40,20,0.5,0.09379552399999902,3741.6092278724113
130,40,20,0.5,0.10059657499999908,3716.415969478128
140,40,20,0.5,0.10745539799999904,3721.5356109394147
150,40,20,0.5,0.1144524399999991,3701.4559881445452
160,40,20,0.5,0.12138182499999939,3692.159064508472
170,40,20,0.5,0.12813213899999898,3704.2875169933
180,40,20,0.5,0.13498650999999828,3711.735166075629
190,40,20,0.5,0.14256228499999857,3723.141549765918
200,40,20,0.5,0.14956277499999793,3711.800239440657
210,40,20,0.5,0.1567656589999986,3779.942912205672
220,40,20,0.5,0.16363641399999906,3736.2282008741004
230,40,20,0.5,0.17046854299999925,3764.1145523811133
240,40,20,0.5,0.17714028499999923,3737.6103545857027
250,40,20,0.5,0.18407321599999982,3759.791612348137
260,40,20,0.5,0.1906667500000001,3766.2619319166547
270,40,20,0.5,0.19744916799999945,3741.487845036403
280,40,20,0.5,0.20430588499999924,3779.432787280322
290,40,20,0.5,0.2112676699999989,3748.5497516981955
300,40,20,0.5,0.2188476599999989,3730.146534711142
310,40,20,0.5,0.22684293399999955,3740.337238265966
320,40,20,0.5,0.23412303399999956,3732.90731319664
330,40,20,0.5,0.24144619199999973,3764.1145523811133
340,40,20,0.5,0.24856347199999984,3778.648930508259
350,40,20,0.5,0.2553660820000001,3764.1145523811133
360,40,20,0.5,0.26238650700000044,3764.1145523811133
370,40,20,0.5,0.26928909,3767.3863353175598
380,40,20,0.5,0.2763280470000007,3788.839634063083
390,40,20,0.5,0.2831100640000015,3777.781416094924
400,40,20,0.5,0.2900966570000012,3762.8503884226643
410,40,20,0.5,0.2970403380000013,3745.6848011205725
420,40,20,0.5,0.30406133800000124,3816.6725878867405
430,40,20,0.5,0.31077539100000084,3778.7766508411028
440,40,20,0.5,0.31850175000000114,3745.615447478965
450,40,20,0.5,0.3253837880000017,3781.953375538446
460,40,20,0.5,0.3322068470000019,3760.9534562395324
470,40,20,0.5,0.339035819000002,3772.8682631543534
480,40,20,0.5,0.3459955970000017,3754.789706120418
490,40,20,0.5,0.35301851500000136,3812.7986561591465
500,40,20,0.5,0.359823286000001,3772.037800066533
510,40,20,0.5,0.366560766000001,3764.1145523811133
520,40,20,0.5,0.37352395600000143,3774.250850440488
530,40,20,0.5,0.38017673300000077,3784.796406622929
540,40,20,0.5,0.3870638640000008,3742.66125363559
550,40,20,0.5,0.3939107780000004,3763.0426607452378
560,40,20,0.5,0.4008200540000004,3762.575550189568
570,40,20,0.5,0.40832217400000026,3751.958499807372
580,40,20,0.5,0.41534025600000035,3788.4587578434116
590,40,20,0.5,0.42226934299999996,3752.7300799618547
600,40,20,0.5,0.42934923999999963,3752.2344605965295
610,40,20,0.5,0.4361796499999997,3742.66125363559
620,40,20,0.5,0.4430136339999997,3761.891617117691
630,40,20,0.5,0.44985253599999986,3793.880155600484
640,40,20,0.5,0.4569011309999995,3760.7189522383464
650,40,20,0.5,0.4636562959999999,3748.0166964376244
660,40,20,0.5,0.4706507919999998,3742.66125363559
670,40,20,0.5,0.47782372500000037,3762.4474795852666
680,40,20,0.5,0.4854690390000007,3819.403209431279
690,40,20,0.5,0.49277037000000057,3813.400804950293
700,40,20,0.5,0.5000615820000007,3803.288816530032
710,40,20,0.5,0.5070258189999999,3791.947506204771
720,40,20,0.5,0.5142138149999997,3802.138209759594
730,40,20,0.5,0.5211254729999997,3791.947506204771
740,40,20,0.5,0.5280418820000001,3827.067668664105
750,40,20,0.5,0.5353105620000003,3857.5993381359863
760,40,20,0.5,0.5422822700000003,3827.067668664105
770,40,20,0.5,0.5493248340000001,3838.338586893216
780,40,20,0.5,0.5562888699999995,3841.841285209018
790,40,20,0.5,0.5632133489999998,3845.1253672668613
800,40,20,0.5,0.5703449619999992,3857.5993381359863
810,40,20,0.5,0.5769655169999997,3849.750289314627
820,40,20,0.5,0.5845277579999992,3835.876582843304
830,40,20,0.5,0.5915083379999988,3872.3557283567347
840,40,20,0.5,0.5985474059999989,3865.714073290085
850,40,20,0.5,0.6056932999999987,3855.906124912225
860,40,20,0.5,0.6126323339999988,3862.7333756594635
870,40,20,0.5,0.6211105899999989,3850.4482385541446
880,40,20,0.5,0.6286316229999986,3819.9165690822633
890,40,20,0.5,0.6356380849999983,3837.8999512765854
900,40,20,0.5,0.642426249999998,3835.9858364227834
910,40,20,0.5,0.6495188649999974,3842.5991897327854
920,40,20,0.5,0.6566720409999975,3835.1824038182044
930,40,20,0.5,0.6637077179999968,3894.8232707369675
940,40,20,0.5,0.6705697299999969,3871.297801023717
950,40,20,0.5,0.6784777029999969,3844.4793274542776
960,40,20,0.5,0.6855852649999967,3857.8650244687265
970,40,20,0.5,0.6925394749999967,3844.4793274542776
980,40,20,0.5,0.699289421999997,3835.1824038182044
990,40,20,0.5,0.7060407319999973,3859.7451621902187
1000,40,20,0.5,0.7129600969999972,3856.416827118304
1010,40,20,0.5,0.719896077999997,3835.1824038182044
1020,40,20,0.5,0.7271887719999963,3842.646223692765
1030,40,20,0.5,0.7354658639999965,3864.558950249147
1040,40,20,0.5,0.7428696029999964,3835.1824038182044
1050,40,20,0.5,0.7500274129999962,3830.8387292458815
1060,40,20,0.5,0.7569702229999962,3884.6325671821437
1070,40,20,0.5,0.7643796379999968,3837.9130253627427
1080,40,20,0.5,0.7713459049999969,3884.6325671821437
1090,40,20,0.5,0.7784347899999968,3839.8338685671774
1100,40,20,0.5,0.7853141809999968,3835.1824038182044
1110,40,20,0.5,0.7920930729999967,3868.9475822845593
1120,40,20,0.5,0.7990617709999963,3873.317604633713
1130,40,20,0.5,0.8060522549999964,3808.3114980820014
1140,40,20,0.5,0.8132075869999964,3791.7099271227985
1150,40,20,0.5,0.8201674589999959,3813.2888509849886
1160,40,20,0.5,0.8273383499999962,3875.3356435460696
1170,40,20,0.5,0.8343980829999964,3849.049975589926
1180,40,20,0.5,0.8413376419999965,3841.900717753439
1190,40,20,0.5,0.8482649949999965,3833.5202962665994
1200,40,20,0.5,0.8560040379999965,3801.1603985001607
1210,40,20,0.5,0.862884721999996,3815.533076170815
1220,40,20,0.5,0.8696983899999964,3819.754245772308
1230,40,20,0.5,0.8768120969999966,3821.8701004383415
1240,40,20,0.5,0.8836126569999969,3880.594724659791
1250,40,20,0.5,0.8906003719999962,3822.7292980468615
1260,40,20,0.5,0.8976579359999963,3820.3340565707845
1270,40,20,0.5,0.9047510289999963,3806.523938244502
1280,40,20,0.5,0.9119866389999958,3797.7702274712624
1290,40,20,0.5,0.9193138489999964,3839.5260783905264
1300,40,20,0.5,0.9263830069999957,3858.18303008037
1310,40,20,0.5,0.9334096959999956,3846.054577595541
1320,40,20,0.5,0.940744899999995,3882.1699748010547
1330,40,20,0.5,0.9476511099999945,3853.5183974701017
1340,40,20,0.5,0.9544713609999942,3859.999963049652
1350,40,20,0.5,0.9614229329999935,3855.351501231615
1360,40,20,0.5,0.9684937849999935,3846.054577595541
1370,40,20,0.5,0.9758488439999935,3873.2865348397513
1380,40,20,0.5,0.982986631999994,3861.320412331482
1390,40,20,0.5,0.9901232159999935,3871.172920899486
1400,40,20,0.5,0.9969300329999928,3875.4311240264838
1410,40,20,0.5,1.0042559299999931,3849.215673737122
1420,40,20,0.5,1.0113464309999927,3874.0753463390433
1430,40,20,0.5,1.0183457179999928,3888.4389421719297
1440,40,20,0.5,1.0253752279999926,3859.72684142786
1450,40,20,0.5,1.0332085619999924,3855.452465837322
1460,40,20,0.5,1.040276403999992,3876.6266882600125
1470,40,20,0.5,1.0474729929999924,3858.244446086109
1480,40,20,0.5,1.0545597199999923,3876.838293358256
1490,40,20,0.5,1.0615233869999923,3892.11428300424
1500,40,20,0.5,1.068652953999992,3874.60536448453
1510,40,20,0.5,1.0753584069999924,3859.3105859827047
1520,40,20,0.5,1.0822132359999923,3867.452709113548
1530,40,20,0.5,1.0891374959999922,3868.6482733470766
1540,40,20,0.5,1.0962442889999924,3878.8389769018995
1550,40,20,0.5,1.1030559779999924,3883.8736668904266
1560,40,20,0.5,1.1102255579999927,3867.452709113548
1570,40,20,0.5,1.1177147449999927,3866.0969314261074
1580,40,20,0.5,1.1255036799999933,3838.076162682605
1590,40,20,0.5,1.1330789269999935,3852.021548136716
1600,40,20,0.5,1.1455288629999938,3860.758783333127
1610,40,20,0.5,1.156142205999993,3867.452709113548
