iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.0201135844873,0.0214520476151,0.0267111792235,0.985054347826,0.983695652174,0.961038961039,0.017649224
10,5.86038132835e-05,2.01349443881e-07,0.000558183897098,1.0,1.0,1.0,0.002339039
20,2.32225005225e-21,3.10615522175e-24,2.21705075606e-20,1.0,1.0,1.0,0.001899105
30,0.0,0.0,0.0,1.0,1.0,1.0,0.001615937
40,0.0,0.0,0.0,1.0,1.0,1.0,0.001552856
50,0.0,0.0,0.0,1.0,1.0,1.0,0.001518684
60,0.0,0.0,0.0,1.0,1.0,1.0,0.001665562
70,0.0,0.0,0.0,1.0,1.0,1.0,0.001502735
80,0.0,0.0,0.0,1.0,1.0,1.0,0.00159768
90,0.0,0.0,0.0,1.0,1.0,1.0,0.001413111
100,0.0,0.0,0.0,1.0,1.0,1.0,0.001514619
110,0.0,0.0,0.0,1.0,1.0,1.0,0.001578977
120,0.0,0.0,0.0,1.0,1.0,1.0,0.001404455
130,0.0,0.0,0.0,1.0,1.0,1.0,0.001402335
140,0.0,0.0,0.0,1.0,1.0,1.0,0.001412698
150,0.0,0.0,0.0,1.0,1.0,1.0,0.001438502
160,0.0,0.0,0.0,1.0,1.0,1.0,0.001591771
170,0.0,0.0,0.0,1.0,1.0,1.0,0.001561837
180,0.0,0.0,0.0,1.0,1.0,1.0,0.001415893
190,0.0,0.0,0.0,1.0,1.0,1.0,0.001427432
200,0.0,0.0,0.0,1.0,1.0,1.0,0.001445668
210,0.0,0.0,0.0,1.0,1.0,1.0,0.001454369
220,0.0,0.0,0.0,1.0,1.0,1.0,0.001433237
230,0.0,0.0,0.0,1.0,1.0,1.0,0.001478523
240,0.0,0.0,0.0,1.0,1.0,1.0,0.001359402
250,0.0,0.0,0.0,1.0,1.0,1.0,0.001364327
260,0.0,0.0,0.0,1.0,1.0,1.0,0.001417855
270,0.0,0.0,0.0,1.0,1.0,1.0,0.00147282
280,0.0,0.0,0.0,1.0,1.0,1.0,0.001331386
290,0.0,0.0,0.0,1.0,1.0,1.0,0.001332952
300,0.0,0.0,0.0,1.0,1.0,1.0,0.001330796
310,0.0,0.0,0.0,1.0,1.0,1.0,0.001321859
320,0.0,0.0,0.0,1.0,1.0,1.0,0.001326331
330,0.0,0.0,0.0,1.0,1.0,1.0,0.001344551
340,0.0,0.0,0.0,1.0,1.0,1.0,0.001321486
350,0.0,0.0,0.0,1.0,1.0,1.0,0.001329501
360,0.0,0.0,0.0,1.0,1.0,1.0,0.001359823
370,0.0,0.0,0.0,1.0,1.0,1.0,0.001364242
380,0.0,0.0,0.0,1.0,1.0,1.0,0.00133254
390,0.0,0.0,0.0,1.0,1.0,1.0,0.001426844
400,0.0,0.0,0.0,1.0,1.0,1.0,0.001480966
410,0.0,0.0,0.0,1.0,1.0,1.0,0.001327694
420,0.0,0.0,0.0,1.0,1.0,1.0,0.001318878
430,0.0,0.0,0.0,1.0,1.0,1.0,0.001352374
440,0.0,0.0,0.0,1.0,1.0,1.0,0.00132453
450,0.0,0.0,0.0,1.0,1.0,1.0,0.001342535
460,0.0,0.0,0.0,1.0,1.0,1.0,0.00136205
470,0.0,0.0,0.0,1.0,1.0,1.0,0.001443276
480,0.0,0.0,0.0,1.0,1.0,1.0,0.001393958
490,0.0,0.0,0.0,1.0,1.0,1.0,0.00146801
500,0.0,0.0,0.0,1.0,1.0,1.0,0.00210065
510,0.0,0.0,0.0,1.0,1.0,1.0,0.001355283
520,0.0,0.0,0.0,1.0,1.0,1.0,0.001362198
530,0.0,0.0,0.0,1.0,1.0,1.0,0.001488803
540,0.0,0.0,0.0,1.0,1.0,1.0,0.001328152
550,0.0,0.0,0.0,1.0,1.0,1.0,0.001328566
560,0.0,0.0,0.0,1.0,1.0,1.0,0.001450806
570,0.0,0.0,0.0,1.0,1.0,1.0,0.001367955
580,0.0,0.0,0.0,1.0,1.0,1.0,0.001350658
590,0.0,0.0,0.0,1.0,1.0,1.0,0.00135457
600,0.0,0.0,0.0,1.0,1.0,1.0,0.001347812
610,0.0,0.0,0.0,1.0,1.0,1.0,0.001343703
620,0.0,0.0,0.0,1.0,1.0,1.0,0.001396483
630,0.0,0.0,0.0,1.0,1.0,1.0,0.001402563
640,0.0,0.0,0.0,1.0,1.0,1.0,0.001516037
650,0.0,0.0,0.0,1.0,1.0,1.0,0.001371528
660,0.0,0.0,0.0,1.0,1.0,1.0,0.001377249
670,0.0,0.0,0.0,1.0,1.0,1.0,0.001343918
680,0.0,0.0,0.0,1.0,1.0,1.0,0.001361695
690,0.0,0.0,0.0,1.0,1.0,1.0,0.002423391
700,0.0,0.0,0.0,1.0,1.0,1.0,0.002265387
710,0.0,0.0,0.0,1.0,1.0,1.0,0.001421351
720,0.0,0.0,0.0,1.0,1.0,1.0,0.003020606
730,0.0,0.0,0.0,1.0,1.0,1.0,0.001484172
740,0.0,0.0,0.0,1.0,1.0,1.0,0.001361054
750,0.0,0.0,0.0,1.0,1.0,1.0,0.001487628
760,0.0,0.0,0.0,1.0,1.0,1.0,0.001428056
770,0.0,0.0,0.0,1.0,1.0,1.0,0.001413342
780,0.0,0.0,0.0,1.0,1.0,1.0,0.001877151
790,0.0,0.0,0.0,1.0,1.0,1.0,0.001516611
800,0.0,0.0,0.0,1.0,1.0,1.0,0.002373862
810,0.0,0.0,0.0,1.0,1.0,1.0,0.001511826
820,0.0,0.0,0.0,1.0,1.0,1.0,0.001390952
830,0.0,0.0,0.0,1.0,1.0,1.0,0.001450469
840,0.0,0.0,0.0,1.0,1.0,1.0,0.001828385
850,0.0,0.0,0.0,1.0,1.0,1.0,0.001436809
860,0.0,0.0,0.0,1.0,1.0,1.0,0.001498319
870,0.0,0.0,0.0,1.0,1.0,1.0,0.001878697
880,0.0,0.0,0.0,1.0,1.0,1.0,0.001465431
890,0.0,0.0,0.0,1.0,1.0,1.0,0.001865656
900,0.0,0.0,0.0,1.0,1.0,1.0,0.001432364
910,0.0,0.0,0.0,1.0,1.0,1.0,0.001328657
