iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
0,0.15578339534,0.153178740767,0.154092311231,0.0910326086957,0.0869565217391,0.0909090909091,0.018331357
10,0.0675399523094,0.0685751043265,0.0683380367628,0.998641304348,0.994565217391,1.0,0.183920669
20,0.0750852298623,0.0745632317647,0.0763226983268,1.0,1.0,1.0,0.348510145
30,0.07203739235,0.07067652691,0.0729701138415,0.907608695652,0.929347826087,0.891774891775,0.518109827
40,0.0610676873705,0.0610211883306,0.0616268442164,0.997282608696,0.989130434783,0.991341991342,0.680370844
50,0.0631036189345,0.0638960651191,0.0642438549398,1.0,1.0,1.0,0.843317523
60,0.057917017688,0.0577737996542,0.059506153313,0.978260869565,0.983695652174,0.974025974026,1.009816134
70,0.061553079806,0.0606732941465,0.0626628871077,0.994565217391,0.994565217391,1.0,1.17460083
80,0.0578849090168,0.0583543868981,0.0581943282292,0.997282608696,1.0,0.991341991342,1.330368981
90,0.0550045025178,0.0550541253357,0.0543744340199,1.0,1.0,1.0,1.501575156
100,0.0516695925494,0.0514064550511,0.0517221882948,1.0,1.0,1.0,1.675597363
110,0.0496460482463,0.0496016955117,0.0490741130603,1.0,1.0,1.0,1.839898672
120,0.0438689180335,0.0439265711221,0.044251808853,1.0,1.0,1.0,2.004818437
130,0.0360503506705,0.0361059203154,0.0362099458138,1.0,1.0,1.0,2.15926233
140,0.0385227323502,0.0385943954493,0.0387087261925,1.0,1.0,1.0,2.322212081
150,0.0370618364442,0.0370651835821,0.038115910268,1.0,1.0,1.0,2.485014085
160,0.0319710330351,0.0320862878263,0.0324233729016,1.0,1.0,1.0,2.649648932
170,0.0305669072396,0.0307252358046,0.0311597854981,1.0,1.0,1.0,2.804958774
180,0.0282119228703,0.0279075951545,0.0299020869075,1.0,1.0,1.0,2.970196551
190,0.0276275512007,0.0266910862351,0.0292822129338,1.0,1.0,1.0,3.129513753
200,0.0268753341159,0.0267507572537,0.0285326010075,1.0,1.0,1.0,3.293117106
210,0.0269711047109,0.0264284268104,0.0289982824613,1.0,1.0,1.0,3.45583845
220,0.0271179409215,0.0270904394281,0.0287999710491,1.0,1.0,1.0,3.614700474
230,0.0200613223257,0.01957135139,0.0215334261375,1.0,1.0,1.0,3.774874242
240,0.0274271472519,0.0278505985896,0.0297044773275,1.0,1.0,1.0,3.937384394
250,0.0210235870255,0.0207416571845,0.0224451833486,1.0,1.0,1.0,4.097252296
260,0.0200359936069,0.0193682331083,0.0216444562273,1.0,1.0,1.0,4.259336815
270,0.0213765079854,0.0205646805971,0.0228301087636,1.0,1.0,1.0,4.421741639
280,0.0138490017773,0.0137485590384,0.0151883662762,1.0,1.0,1.0,4.583440769
290,0.013883834332,0.0138466514004,0.0151362706302,1.0,1.0,1.0,4.743612521
300,0.015934557155,0.0156073473797,0.017262201248,1.0,1.0,1.0,4.912012885
310,0.0137520062235,0.0136094452887,0.0146786111694,1.0,1.0,1.0,5.083346224
320,0.0141270677537,0.013852965966,0.0150459435766,1.0,1.0,1.0,5.263596979
330,0.00909772793022,0.00904011836079,0.00981793820913,1.0,1.0,1.0,5.433667939
340,0.00907391354749,0.00901490880946,0.00979480112193,1.0,1.0,1.0,5.595467449
350,0.00883381651765,0.00877848033113,0.00951433688423,1.0,1.0,1.0,5.761209688
360,0.0076515531511,0.00779120351981,0.00803710459971,1.0,1.0,1.0,5.922808133
370,0.00673327659837,0.00682917356087,0.00709497982882,1.0,1.0,1.0,6.088276807
380,0.00680147465163,0.00685906538187,0.00733123357461,1.0,1.0,1.0,6.253313379
390,0.00663326423432,0.00639384048677,0.00757179774428,1.0,1.0,1.0,6.417962248
