iterations,pop,mate,mutate,time,fitness
0,200,150,10,0.004730369000014889,0.03971045647228573
10,200,150,10,0.009215243000028295,0.03966039659570704
20,200,150,10,0.013272609000040347,0.03533030788833271
30,200,150,10,0.016834192000033,0.04339335063437059
40,200,150,10,0.01985684500004936,0.04022801320591586
50,200,150,10,0.022650763000029883,0.04167026268719476
60,200,150,10,0.02549367300002814,0.046542226291948346
70,200,150,10,0.028465484000037122,0.03874109722229343
80,200,150,10,0.03185951600002568,0.038401385999954046
90,200,150,10,0.03491439600003332,0.03798282447095734
100,200,150,10,0.03823909300004402,0.03731263182592271
110,200,150,10,0.041292489000028354,0.03713639524841718
120,200,150,10,0.044121105000044736,0.043472413599864125
130,200,150,10,0.04701429200005691,0.04083720490668599
140,200,150,10,0.0500401470000611,0.04231233190796123
150,200,150,10,0.05329996300005746,0.03584521056129993
160,200,150,10,0.05655353100004845,0.0373718940668939
170,200,150,10,0.05973685900005421,0.041521474675885454
180,200,150,10,0.06257796500005952,0.03752578076662872
190,200,150,10,0.06545529500004932,0.04498436221966213
200,200,150,10,0.06843769000005295,0.04250542465391724
210,200,150,10,0.07135340100003873,0.03694334540429548
220,200,150,10,0.07416851600004293,0.037554134454302945
230,200,150,10,0.07719512500003134,0.03825450886934329
240,200,150,10,0.08018486400004576,0.038215806107038404
250,200,150,10,0.08304472100005,0.04213222686660027
260,200,150,10,0.0860954900000479,0.03946865640689695
270,200,150,10,0.08899888800004874,0.03815599485235845
280,200,150,10,0.09180960500006563,0.03761626716521343
290,200,150,10,0.09459757900006593,0.0387890963844246
300,200,150,10,0.09748810200005664,0.03916071632500786
310,200,150,10,0.10039271400006555,0.04275626932686949
320,200,150,10,0.10354950000004237,0.03895819785942666
330,200,150,10,0.10644520100004229,0.03982921856899066
340,200,150,10,0.10930364200004306,0.04196874824012127
350,200,150,10,0.11220004200004041,0.04101344025416086
360,200,150,10,0.11501163100004419,0.038586173865261
370,200,150,10,0.11795965000004571,0.04020617039532872
380,200,150,10,0.12098489100003462,0.036825370911072554
390,200,150,10,0.1238156000000572,0.04314632395268389
400,200,150,10,0.12665443400007348,0.040050658136152446
410,200,150,10,0.13049753300006728,0.038807875479959425
420,200,150,10,0.13334331400008637,0.04215186593144422
430,200,150,10,0.13637923100009175,0.03675027551137723
440,200,150,10,0.13922328000009543,0.039791048157688365
450,200,150,10,0.1420731590000912,0.039296172218561576
460,200,150,10,0.14488187600011315,0.0395183585107117
470,200,150,10,0.14774569800013637,0.03815341941601442
